,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
309,Very High,USA,M,18,E,DBAG,N,18,6.0,5,C,E,C,M,,,,,,
310,Low,USA,P,1,E,DA,N,2,1.0,5,C,PB,S,M,,,,,,
311,Low,Netherlands,M,1,E,DBAP,N,20,1.0,3,c,LG,S,M,,,,,,
312,Very Low,Russia,M,14,E,DBAP,Y,5,3.0,4,m,PB,SR,M,,,,,,
313,Very High,USA,M,25,E,DT,N,25,4.0,6,m,PB,S,M,,,,,,
314,Very Low,USA,M,6,E,M,N,6,1.0,0,c,PB,SE,M,,,,,,
315,Very High,USA,M,20,E,E,N,20,4.0,0,m,PB,SE,M,,,,,,
316,Low,Ireland,M,15,E,DBAP,N,15,2.0,1,m,PB,SR,M,,,,,,
317,Very High,USA,M,10,E,DA,Y,15,2.0,2,m,PB,S,M,,,,,,
318,Very Low,Canada,M,7,E,DBAD,Y,2,2.0,0,m,PB,S,F,,,,,,
319,Low,USA,M,15,E,DBAP,N,18,1.0,6,T,E,S,M,,,,,,
320,Low,USA,M,5,E,AN,N,5,3.0,2,c,SG,SR,M,,,,,,
321,Mid,USA,M,15,E,DBAG,N,15,4.0,0,C,PB,C,M,,,,,,
322,Mid,Canada,M,5,E,DBAG,Y,5,1.0,2,m,PB,SE,M,,,,,,
323,Very Low,Italy,M,29,E,DBAG,Y,15,5.0,0,c,PB,SR,M,,,,,,
324,Very High,USA,M,15,E,A,N,4,2.0,0,C,PB,S,M,,,,,,
325,Very Low,India,M,10,E,A,N,3,4.0,1,m,PB,S,M,,,,,,
326,High,Canada,M,25,E,A,Y,25,1.0,6,m,PB,S,M,,,,,,
327,Low,USA,M,4,E,DT,N,4,2.0,1,m,PB,C,M,,,,,,
328,Very High,USA,M,20,E,D,N,20,5.0,1,C,PB,SR,M,,,,,,
329,Mid,USA,M,10,E,DBAG,N,0,2.0,0,T,PB,S,M,,,,,,
330,Low,USA,M,8,E,DBAG,N,8,2.0,0,c,PB,SE,M,,,,,,
331,Mid,Canada,O,15,E,DBAD,N,15,1.0,2,C,PB,S,M,,,,,,
332,High,USA,M,25,E,DBAG,Y,25,6.0,3,C,PB,S,M,,,,,,
333,Mid,USA,M,6,E,DBAD,N,7,2.0,3,c,PB,S,M,,,,,,
334,High,USA,M,20,E,D,N,17,2.0,0,t,NP,S,M,,,,,,
335,Very High,USA,M,16,E,M,Y,10,3.0,0,C,PB,S,M,,,,,,
336,Low,USA,M,6,EC,DBAG,N,6,3.0,4,C,PB,SR,M,,,,,,
337,Very High,USA,M,10,E,DT,Y,12,1.0,1,m,PB,S,M,,,,,,
338,High,Poland,M,7,IC,A,N,7,4.0,0,C,PB,C,M,,,,,,
339,Very High,USA,M,25,E,D,N,20,3.0,0,C,PB,S,F,,,,,,
340,High,USA,M,11,E,A,N,10,1.0,0,c,SG,S,M,,,,,,
341,Mid,USA,M,10,E,DBAP,N,4,1.0,0,C,PB,S,M,,,,,,
342,Mid,USA,M,20,E,DT,N,5,2.0,1,c,NP,S,M,,,,,,
343,Very High,USA,M,15,E,DBAG,N,5,2.0,1,m,PB,SE,F,,,,,,
344,Mid,USA,M,20,E,DBAP,N,20,5.0,5,c,PB,S,F,,,,,,
345,Very High,USA,M,24,EC,AN,Y,24,3.0,3,C,PB,SE,M,,,,,,
346,Mid,USA,M,4,E,DBAD,N,3,1.0,1,m,PB,S,M,,,,,,
347,Very High,USA,M,33,E,DBAG,N,33,6.0,0,m,PB,S,F,,,,,,
348,Very Low,Portugal,M,9,E,DBAD,Y,10,2.0,1,C,PB,SE,M,,,,,,
349,High,USA,M,10,E,A,Y,6,2.0,0,m,PB,S,M,,,,,,
350,Very High,Germany,M,15,E,D,N,15,6.0,2,m,PB,S,M,,,,,,
351,Very High,USA,A,1,E,A,N,5,1.0,5,C,PB,SR,F,,,,,,
352,Very Low,UK,M,20,E,DBAD,Y,25,1.0,0,C,PB,,M,,,,,,
353,High,USA,RDS,3,E,DS,Y,3,1.0,0,C,PB,,M,,,,,,
354,Low,Poland,M,8,E,DBAG,N,8,2.0,3,C,PB,,M,,,,,,
355,Very High,USA,M,16,EC,DBAG,N,16,4.0,0,C,PB,SR,M,,,,,,
356,Very High,USA,M,15,E,DBAD,N,10,1.0,1,c,PB,S,M,,,,,,
357,High,USA,M,8,E,E,N,7,2.0,0,m,PB,S,M,,,,,,
358,Mid,USA,M,20,E,DBAP,N,20,4.0,0,c,PB,S,M,,,,,,
359,Very High,USA,M,21,E,DBAP,N,21,5.0,4,c,PB,S,M,,,,,,
360,Very Low,UK,M,4,E,DBAP,N,4,2.0,0,m,PB,C,F,,,,,,
361,Low,UK,M,4,E,DBAD,N,3,2.0,4,m,PB,SR,M,,,,,,
362,Very High,USA,M,10,E,DBAD,N,35,3.0,2,m,FG,SR,F,,,,,,
363,Very High,UK,M,16,IC,DBAG,N,16,6.0,1,t,PB,SR,M,,,,,,
364,Mid,USA,M,14,E,A,N,7,1.0,0,t,PB,C,M,,,,,,
365,Mid,USA,M,15,E,DBAD,N,23,4.0,0,C,FG,S,M,,,,,,
366,Low,UK,M,13,E,DBAP,N,13,5.0,1,c,NP,SE,M,,,,,,
367,Mid,USA,O,10,E,DBAG,N,20,1.0,2,C,NP,S,M,,,,,,
368,Very High,USA,M,11,E,A,N,2,1.0,0,m,PB,S,M,,,,,,
369,Mid,USA,M,20,E,DA,N,20,2.0,0,m,PB,SR,M,,,,,,
370,Low,USA,M,5,E,AN,N,5,1.0,3,m,PB,S,M,,,,,,
371,High,USA,M,15,E,DBAG,N,15,4.0,2,T,PB,S,M,,,,,,
372,Very High,USA,M,18,E,DBAP,N,18,2.0,1,c,PB,C,M,,,,,,
373,High,USA,M,20,E,DBAG,N,1,6.0,1,T,PB,S,M,,,,,,
374,High,USA,M,20,EC,M,Y,3,1.0,2,T,PB,S,M,,,,,,
375,High,USA,M,7,E,DBAP,N,7,4.0,3,C,PB,S,M,,,,,,
376,High,USA,M,15,E,DBAG,N,10,4.0,1,c,PB,SE,M,,,,,,
377,Low,USA,M,6,E,DBAG,N,6,2.0,1,C,PB,SR,M,,,,,,
378,Mid,USA,M,17,E,DBAP,Y,19,1.0,6,T,SG,S,M,,,,,,
379,High,USA,M,20,E,DBAG,N,20,6.0,2,m,PB,S,M,,,,,,
380,Very High,USA,M,10,EC,A,N,2,2.0,6,c,FG,S,M,,,,,,
381,Very High,USA,M,20,IC,DBAG,N,25,2.0,0,m,PB,S,M,,,,,,
382,Very High,Netherlands,M,22,IC,DBAG,N,15,6.0,6,c,PB,SE,M,,,,,,
383,Mid,USA,M,11,E,DBAP,N,11,4.0,6,C,PB,SR,M,,,,,,
384,Very High,USA,M,21,E,A,Y,21,6.0,0,t,PB,S,M,,,,,,
385,High,USA,M,10,E,DBAG,N,8,3.0,1,c,PB,S,M,,,,,,
386,Low,USA,,3,E,A,N,1,3.0,2,T,PB,,M,,,,,,
387,Low,Canada,P,5,E,DBAD,N,20,6.0,3,c,PB,S,M,,,,,,
388,Very Low,UK,M,3,E,DT,N,2,1.0,6,C,PB,,M,,,,,,
389,Low,USA,M,15,E,DBAG,Y,7,1.0,2,c,SG,SR,M,,,,,,
390,Low,Canada,M,22,E,DBAG,N,20,2.0,1,m,PB,SR,M,,,,,,
391,Low,Finland,M,10,E,DBAP,N,1,2.0,5,t,PB,S,M,,,,,,
392,Very High,USA,M,15,E,A,Y,2,4.0,0,c,PB,S,M,,,,,,
393,Mid,USA,M,11,E,DBAP,N,7,3.0,3,m,PB,S,M,,,,,,
394,Very Low,UK,M,10,E,DBAP,N,2,1.0,1,C,PB,S,M,,,,,,
395,Mid,USA,M,1,E,AN,N,2,1.0,1,m,PB,C,M,,,,,,
396,Low,Netherlands,M,13,E,DT,N,3,1.0,4,c,PB,SE,M,,,,,,
397,High,USA,M,25,E,DBAD,N,11,3.0,1,m,PB,SR,M,,,,,,
398,Mid,USA,M,3,E,DT,N,3,1.0,6,c,PB,S,M,,,,,,
399,Very High,USA,M,20,E,DBAG,N,20,4.0,0,C,LG,S,F,,,,,,
400,High,USA,A,4,E,AN,N,4,1.0,2,C,PB,SE,M,,,,,,
401,Very High,USA,M,25,E,E,N,25,6.0,4,C,PB,S,M,,,,,,
402,High,USA,M,12,E,DBAG,N,6,3.0,3,m,PB,SE,F,,,,,,
403,Mid,USA,M,9,EC,DT,N,1,1.0,0,c,PB,SR,M,,,,,,
404,Very High,USA,M,8,E,E,N,8,4.0,1,C,NP,S,F,,,,,,
405,High,USA,M,15,E,DBAG,N,21,3.0,0,m,NP,S,M,,,,,,
406,Mid,USA,P,7,E,DT,N,1,2.0,5,c,PB,SE,M,,,,,,
407,Mid,UK,M,10,E,DBAG,N,7,2.0,6,c,PB,C,M,,,,,,
408,High,USA,M,6,E,DBAP,N,6,1.0,3,T,LG,S,M,,,,,,
409,Mid,USA,M,3,E,DBAP,N,3,1.0,4,C,PB,S,M,,,,,,
410,Low,USA,M,9,E,DBAD,N,9,1.0,1,m,PB,SE,M,,,,,,
411,Very Low,Sweden,M,13,E,DBAP,N,13,2.0,4,C,PB,S,M,,,,,,
412,Very High,USA,M,15,E,DT,N,15,4.0,6,m,PB,S,M,,,,,,
413,High,USA,M,18,IC,DA,N,1,6.0,0,C,PB,C,M,,,,,,
414,Mid,Canada,M,18,E,DBAG,N,7,1.0,0,m,PB,S,M,,,,,,
415,Mid,USA,M,20,E,DBAG,N,20,1.0,0,c,LG,S,F,,,,,,
416,High,USA,M,14,E,DBAP,N,10,4.0,6,C,PB,S,M,,,,,,
417,Very Low,India,M,10,E,DBAG,N,10,4.0,5,c,PB,C,M,,,,,,
418,Very High,USA,M,10,E,DBAG,N,10,3.0,1,C,PB,S,M,,,,,,
419,Very Low,Turkey,M,6,E,DBAP,Y,6,1.0,2,m,PB,,M,,,,,,
420,High,USA,M,23,E,M,Y,15,2.0,0,C,LG,S,M,,,,,,
421,Very Low,USA,M,1,E,DBAG,N,1,1.0,2,c,PB,S,M,,,,,,
422,Low,USA,M,10,E,DBAG,N,14,1.0,3,C,PB,SE,M,,,,,,
423,Very High,USA,M,18,IC,DA,N,33,6.0,4,c,PB,S,M,,,,,,
424,Very High,USA,M,15,E,DBAG,N,24,1.0,5,m,PB,S,M,,,,,,
425,Very High,USA,M,7,E,A,Y,7,1.0,0,m,PB,S,M,,,,,,
426,Very High,USA,M,10,E,A,N,4,2.0,0,m,PB,SR,M,,,,,,
427,High,USA,MS,3,E,DBAP,Y,10,1.0,1,m,PB,S,F,,,,,,
428,Low,USA,M,3,E,DT,N,3,1.0,6,m,PB,S,M,,,,,,
429,High,USA,M,7,E,DBAG,N,7,3.0,0,c,PB,S,M,,,,,,
430,Mid,USA,M,4,E,E,N,4,1.0,6,m,PB,S,M,,,,,,
431,Very High,USA,A,2,E,A,N,2,1.0,0,C,NP,S,M,,,,,,
432,Very Low,USA,M,2,E,AN,N,2,2.0,4,C,PB,SE,M,,,,,,
433,Very High,USA,M,20,E,DBAG,Y,6,4.0,0,m,PB,S,F,,,,,,
434,Low,USA,M,4,E,DBAG,N,4,2.0,2,C,PB,S,M,,,,,,
435,High,USA,M,12,E,D,Y,2,1.0,0,c,SG,SE,M,,,,,,
436,Low,USA,M,5,E,DBAP,N,5,1.0,6,m,PB,C,M,,,,,,
437,Very Low,Austria,M,5,E,DBAP,Y,1,1.0,4,T,PB,SR,M,,,,,,
438,Mid,USA,M,10,E,DBAG,N,10,2.0,2,c,PB,S,M,,,,,,
439,Low,Spain,M,5,E,DBAP,N,1,4.0,2,m,PB,,M,,,,,,
440,Mid,USA,M,8,E,DA,N,8,1.0,0,C,PB,S,M,,,,,,
441,High,USA,M,8,E,M,Y,8,1.0,0,C,E,S,M,,,,,,
442,Low,USA,M,7,E,DT,N,1,4.0,2,m,PB,SR,M,,,,,,
443,Low,USA,M,7,E,D,N,7,3.0,0,c,PB,S,M,,,,,,
444,Mid,USA,M,5,E,DBAP,N,3,2.0,5,T,PB,S,M,,,,,,
445,Mid,USA,M,5,E,DBAD,N,2,2.0,0,c,FG,S,M,,,,,,
446,Very High,USA,O,11,E,AN,N,14,3.0,1,m,LG,S,M,,,,,,
447,Mid,USA,M,17,E,DBAD,Y,11,1.0,0,t,PB,S,M,,,,,,
448,Very High,USA,MS,8,E,M,Y,10,2.0,5,C,PB,C,M,,,,,,
449,Mid,USA,M,13,E,DBAG,N,7,2.0,0,m,PB,S,M,,,,,,
450,High,UK,M,15,E,DBAP,N,15,1.0,6,m,PB,S,M,,,,,,
451,High,USA,M,14,E,DBAG,N,10,2.0,0,C,LG,S,M,,,,,,
452,Very Low,India,M,7,EC,DBAP,N,7,2.0,1,m,PB,SR,F,,,,,,
453,Very High,USA,M,11,E,DBAG,N,1,4.0,1,C,PB,S,M,,,,,,
454,Mid,USA,M,5,E,A,Y,1,1.0,0,C,PB,S,M,,,,,,
455,Very High,USA,M,22,EC,A,N,7,5.0,0,m,PB,S,M,,,,,,
456,High,USA,M,17,E,M,Y,10,5.0,2,m,PB,,M,,,,,,
457,Low,USA,M,7,E,DBAG,Y,23,3.0,0,c,SG,C,M,,,,,,
458,Low,New-Zealand,M,15,E,DBAP,N,15,1.0,0,C,LG,S,M,,,,,,
459,Very Low,Sweden,M,1,E,DBAD,N,1,1.0,0,C,PB,C,M,,,,,,
460,Very High,USA,M,20,E,E,N,1,3.0,3,m,PB,S,M,,,,,,
461,Very Low,Honduras,M,3,E,DBAG,N,3,1.0,1,t,PB,SR,M,,,,,,
462,Very Low,New-Zealand,M,13,E,D,N,15,2.0,1,T,LG,C,M,,,,,,
463,Mid,USA,M,5,E,DA,N,9,1.0,2,m,PB,S,M,,,,,,
464,Mid,USA,M,20,E,DBAP,N,20,5.0,6,m,PB,S,F,,,,,,
465,Very High,USA,M,7,E,DBAG,N,10,3.0,6,m,PB,SR,M,,,,,,
466,Mid,USA,M,15,E,E,N,15,6.0,2,m,PB,SE,M,,,,,,
467,Mid,USA,M,5,E,DBAP,N,5,3.0,2,C,SG,S,M,,,,,,
468,Mid,USA,M,20,E,M,Y,25,3.0,0,m,FG,S,M,,,,,,
469,Low,New-Zealand,M,12,E,DBAP,N,12,2.0,3,T,PB,S,M,,,,,,
470,Low,Canada,M,10,E,E,N,15,3.0,4,c,PB,S,M,,,,,,
471,Very Low,Germany,M,1,E,D,N,1,1.0,2,C,PB,S,M,,,,,,
472,Mid,USA,M,4,EC,DBAP,N,2,2.0,2,m,PB,SR,M,,,,,,
473,High,USA,M,6,E,DS,N,3,1.0,5,c,PB,SR,M,,,,,,
474,Mid,USA,M,5,E,DBAG,Y,3,1.0,0,m,PB,S,,,,,,,
475,Low,USA,M,1,E,DBAP,N,1,1.0,4,m,PB,S,M,,,,,,
476,Low,Netherlands,M,12,EC,D,N,12,4.0,6,C,PB,,M,,,,,,
477,Very Low,USA,M,20,IC,DBAP,Y,20,6.0,4,c,PB,S,M,,,,,,
478,Very High,USA,M,5,E,DA,N,30,5.0,0,m,PB,S,M,,,,,,
479,Very Low,UAE,M,8,E,DBAD,N,8,5.0,4,C,PB,C,M,,,,,,
480,High,USA,M,3,E,AN,N,3,1.0,3,m,PB,S,M,,,,,,
481,Very High,USA,M,13,E,M,N,8,3.0,0,m,PB,S,M,,,,,,
482,Low,Guernsey,M,7,E,DBAG,N,7,1.0,0,t,PB,SE,M,,,,,,
483,Very Low,Turkey,M,4,E,M,N,10,1.0,4,m,PB,,M,,,,,,
484,Very High,USA,M,20,E,DT,N,20,2.0,2,C,PB,SR,M,,,,,,
485,Very High,USA,M,11,E,M,Y,3,1.0,0,C,PB,S,M,,,,,,
486,Very Low,Canada,M,20,E,DBAP,N,20,2.0,0,t,SG,,M,,,,,,
487,Low,USA,M,8,E,D,N,1,4.0,1,c,PB,S,M,,,,,,
488,Very Low,UK,M,15,E,DT,N,15,4.0,2,C,LG,S,F,,,,,,
489,Low,USA,M,3,EC,E,N,9,1.0,5,C,PB,C,M,,,,,,
490,High,USA,M,8,E,D,N,20,3.0,1,m,PB,,M,,,,,,
491,Very High,USA,M,16,E,E,N,5,1.0,4,c,PB,S,M,,,,,,
492,Mid,USA,M,5,E,DBAD,N,5,1.0,4,C,PB,S,M,,,,,,
493,High,New-Zealand,M,25,E,A,Y,15,4.0,0,T,FG,SR,F,,,,,,
494,Very High,USA,A,10,E,M,Y,6,1.0,0,m,PB,S,M,,,,,,
495,High,USA,,10,E,E,N,10,3.0,6,c,PB,S,M,,,,,,
496,Very High,USA,M,10,E,DBAP,N,1,3.0,0,m,PB,S,M,,,,,,
497,Very High,USA,M,23,E,DT,N,23,6.0,1,m,PB,SR,M,,,,,,
498,Very Low,Australia,M,3,E,DBAP,N,3,1.0,6,m,PB,S,M,,,,,,
499,Very High,USA,M,15,E,D,N,4,2.0,1,C,PB,S,M,,,,,,
500,Mid,UK,M,13,E,DBAP,Y,4,6.0,2,m,FG,C,M,,,,,,
501,Low,Norway,M,8,E,DBAG,N,8,2.0,0,T,PB,S,,,,,,,
502,High,USA,O,10,E,A,N,1,1.0,0,m,SG,S,M,,,,,,
503,Low,Canada,M,6,E,AN,N,6,2.0,0,m,PB,C,M,,,,,,
504,Very High,USA,M,12,E,D,N,10,6.0,6,m,PB,SE,M,,,,,,
505,Very High,Australia,M,17,EC,DT,N,17,2.0,4,m,PB,SE,M,,,,,,
506,Very Low,New-Zealand,M,8,E,DT,Y,8,1.0,2,T,PB,S,M,,,,,,
507,High,USA,M,20,E,DT,N,20,1.0,0,m,PB,S,M,,,,,,
508,High,USA,M,22,E,DBAP,N,5,2.0,6,C,PB,S,M,,,,,,
509,Low,USA,MA,4,E,A,N,5,2.0,0,m,PB,C,M,,,,,,
510,High,USA,M,22,IC,DT,N,5,2.0,6,m,PB,S,F,,,,,,
511,High,USA,M,20,E,DBAP,N,20,5.0,0,C,PB,S,M,,,,,,
512,Very High,USA,M,15,E,A,N,5,3.0,0,C,PB,SR,M,,,,,,
513,Very High,USA,M,21,E,DBAP,N,21,4.0,0,m,PB,S,M,,,,,,
514,Low,USA,M,3,EC,AN,N,3,1.0,4,m,PB,SE,M,,,,,,
515,Low,USA,O,3,E,AN,N,3,1.0,2,c,E,SR,M,,,,,,
516,Mid,USA,M,7,E,D,N,7,2.0,1,C,PB,S,M,,,,,,
517,Very Low,UK,M,0,E,E,N,4,2.0,3,c,PB,S,M,,,,,,
518,Low,Canada,M,8,E,DT,N,20,5.0,0,c,PB,S,F,,,,,,
519,Very Low,UK,M,3,E,AN,N,3,2.0,1,c,PB,C,M,,,,,,
520,Low,USA,M,10,E,DBAG,N,10,3.0,6,c,PB,S,M,,,,,,
521,Mid,USA,M,4,E,DT,N,3,2.0,2,m,PB,C,M,,,,,,
522,Very High,USA,M,18,E,DBAG,N,13,2.0,1,C,PB,S,M,,,,,,
523,Low,USA,M,3,E,DBAG,N,7,2.0,1,t,PB,S,M,,,,,,
524,Low,USA,M,4,E,DBAG,N,4,1.0,6,C,PB,SR,M,,,,,,
525,High,USA,M,9,E,DBAP,N,7,2.0,3,C,PB,,M,,,,,,
526,High,USA,M,11,E,DBAG,N,8,3.0,2,t,PB,S,M,,,,,,
527,High,USA,M,13,E,DBAG,N,2,1.0,0,t,PB,S,F,,,,,,
528,Low,USA,M,3,E,AN,N,3,1.0,0,c,PB,C,M,,,,,,
529,Very High,USA,M,7,E,DBAD,Y,5,1.0,1,m,PB,S,M,,,,,,
530,Very Low,UK,M,2,E,D,N,2,1.0,3,C,PB,C,M,,,,,,
531,High,USA,M,10,E,M,Y,5,1.0,5,m,PB,SE,M,,,,,,
532,High,USA,M,20,E,DBAP,N,20,4.0,1,C,PB,S,F,,,,,,
533,Mid,New-Zealand,M,20,E,DBAG,N,12,4.0,1,m,PB,S,M,,,,,,
534,Mid,UK,M,15,E,M,Y,5,1.0,0,C,PB,S,M,,,,,,
535,Mid,USA,M,8,E,DBAG,N,5,3.0,2,c,PB,,M,,,,,,
536,Very Low,UK,M,3,E,DBAG,N,3,1.0,6,c,PB,SR,M,,,,,,
537,High,USA,M,17,E,M,Y,3,1.0,0,c,PB,S,M,,,,,,
538,Mid,USA,M,3,E,E,N,2,1.0,6,c,PB,S,M,,,,,,
539,Very High,New-Zealand,M,13,IC,M,Y,4,3.0,0,m,PB,S,M,,,,,,
540,Very High,New-Zealand,M,22,E,DA,N,22,1.0,0,m,PB,S,M,,,,,,
541,Very Low,UK,O,1,E,D,N,4,2.0,2,c,FG,SE,M,,,,,,
542,Very High,USA,M,23,E,E,N,14,4.0,1,C,NP,S,M,,,,,,
543,Very Low,USA,M,6,EC,DBAG,N,6,2.0,1,c,PB,,M,,,,,,
544,Very Low,UK,O,2,E,AN,Y,2,1.0,0,C,PB,S,M,,,,,,
545,High,USA,M,9,E,DT,N,7,2.0,5,c,PB,S,M,,,,,,
546,Low,USA,M,10,E,DBAG,N,10,1.0,1,c,E,SE,F,,,,,,
547,Very Low,Paraguay,,2,E,DT,Y,6,2.0,3,C,PB,SR,M,,,,,,
548,Mid,USA,M,5,E,DBAD,N,5,1.0,1,T,NP,S,M,,,,,,
549,Very Low,Brazil,M,1,E,DBAG,N,1,1.0,4,T,PB,S,M,,,,,,
550,Low,USA,M,1,E,E,N,1,1.0,1,C,PB,S,M,,,,,,
551,Low,USA,,4,E,D,N,4,1.0,3,c,PB,SR,M,,,,,,
552,Very High,USA,M,20,E,A,N,7,3.0,0,C,NP,S,M,,,,,,
553,Low,Poland,M,10,EC,DT,Y,6,1.0,0,c,PB,S,M,,,,,,
554,Very Low,Poland,M,4,E,DBAG,Y,4,2.0,2,c,PB,S,M,,,,,,
555,Mid,USA,M,10,E,DBAG,N,12,1.0,1,m,NP,S,M,,,,,,
556,Mid,USA,M,20,E,DT,N,10,4.0,6,T,PB,S,M,,,,,,
557,Mid,USA,M,25,E,DBAD,N,10,3.0,1,m,SG,S,M,,,,,,
558,Mid,UK,M,18,E,DBAD,N,20,2.0,1,c,PB,S,M,,,,,,
559,Mid,Germany,M,17,E,DBAD,N,3,2.0,1,C,PB,S,M,,,,,,
560,Low,USA,M,5,E,DBAG,N,7,2.0,1,C,SG,S,M,,,,,,
561,Mid,USA,M,5,E,AN,N,5,2.0,2,c,PB,S,F,,,,,,
562,Very High,USA,M,23,E,DBAG,Y,23,3.0,0,m,PB,SE,M,,,,,,
563,Mid,USA,M,20,E,DT,N,10,1.0,2,t,PB,S,M,,,,,,
564,Very High,USA,M,24,E,M,Y,3,1.0,0,m,PB,S,M,,,,,,
565,Very High,USA,M,5,E,M,Y,2,1.0,0,T,PB,S,F,,,,,,
566,High,USA,M,14,E,DT,Y,14,1.0,1,m,PB,S,M,,,,,,
567,Very High,Canada,M,20,E,DBAG,Y,15,4.0,2,C,PB,S,M,,,,,,
568,Low,Canada,M,13,E,D,N,12,2.0,0,C,SG,S,M,,,,,,
569,Very Low,India,M,6,E,DBAP,N,6,4.0,6,C,PB,S,M,,,,,,
570,Mid,USA,M,5,E,D,N,1,1.0,2,C,PB,S,M,,,,,,
571,Mid,USA,,1,E,D,N,1,2.0,6,T,PB,C,M,,,,,,
572,Very High,USA,M,12,E,DBAG,N,15,4.0,0,c,PB,S,M,,,,,,
573,Low,UK,O,5,E,AN,Y,5,3.0,4,c,FG,S,M,,,,,,
574,High,USA,M,10,E,DBAG,N,4,2.0,0,m,PB,S,M,,,,,,
575,Very Low,UK,M,3,E,DBAG,N,10,1.0,1,C,PB,SR,M,,,,,,
576,High,USA,M,15,E,DBAP,N,6,1.0,2,c,PB,S,M,,,,,,
577,Low,USA,M,4,E,DA,Y,3,1.0,3,c,PB,SE,M,,,,,,
578,Mid,UK,M,10,IC,DBAP,N,7,5.0,2,c,PB,SR,M,,,,,,
579,Low,USA,M,11,E,M,Y,7,1.0,1,m,PB,S,M,,,,,,
580,Mid,USA,M,7,E,DT,N,7,2.0,6,m,PB,SR,M,,,,,,
581,High,Luxembourg,M,5,E,DBAG,N,5,3.0,4,C,PB,SR,M,,,,,,
582,Mid,USA,M,10,E,AN,N,10,4.0,6,m,PB,S,M,,,,,,
583,Very Low,USA,O,2,E,,N,2,1.0,6,m,PB,SR,M,,,,,,
584,Low,Canada,M,5,EC,D,Y,5,2.0,3,T,PB,S,M,,,,,,
585,Mid,USA,M,5,E,DBAG,N,5,1.0,2,C,PB,S,M,,,,,,
586,Mid,USA,M,4,E,DBAG,N,4,1.0,3,t,NP,S,M,,,,,,
587,High,USA,M,6,E,DBAG,N,6,2.0,6,T,PB,S,M,,,,,,
588,High,USA,M,6,EC,A,N,3,1.0,2,C,PB,SR,M,,,,,,
589,Very High,USA,M,14,E,M,Y,8,3.0,6,C,PB,S,M,,,,,,
590,Very High,USA,,2,E,AN,N,9,3.0,3,m,PB,SE,M,,,,,,
591,Low,USA,O,10,E,,N,10,2.0,4,T,E,SR,M,,,,,,
592,Low,PuertoRico,M,4,IC,DBAG,N,4,1.0,1,C,LG,,M,,,,,,
593,High,USA,MDB,5,E,DA,Y,6,1.0,0,C,PB,S,M,,,,,,
594,Very Low,Guatemala,M,14,EC,DBAD,N,8,2.0,6,m,PB,C,M,,,,,,
595,Very Low,USA,M,1,E,,N,1,1.0,3,C,PB,C,M,,,,,,
596,Very Low,Australia,M,5,P,DBAG,N,5,1.0,0,c,PB,SR,M,,,,,,
597,Very High,USA,M,15,E,M,Y,15,4.0,0,C,PB,SR,M,,,,,,
598,Very High,New-Zealand,M,20,IC,DBAD,N,10,6.0,0,C,PB,,M,,,,,,
599,Low,Netherlands,M,6,E,D,N,6,2.0,2,C,PB,S,M,,,,,,
600,Very High,USA,M,20,E,DBAP,N,15,3.0,4,t,PB,S,M,,,,,,
601,Very High,USA,M,15,EC,DBAP,N,1,5.0,2,m,FG,,M,,,,,,
602,High,USA,M,16,EC,DBAG,N,10,2.0,1,m,PB,S,M,,,,,,
603,Mid,USA,M,5,E,A,N,5,1.0,0,C,PB,S,M,,,,,,
604,Mid,USA,M,6,E,D,Y,6,1.0,1,T,PB,S,M,,,,,,
605,Very High,USA,M,25,E,DBAP,N,11,3.0,6,m,PB,S,M,,,,,,
606,Very Low,UK,M,15,E,DT,N,5,2.0,3,c,PB,S,M,,,,,,
607,High,Canada,M,15,IC,A,Y,10,2.0,0,m,PB,S,M,,,,,,
608,Mid,USA,O,5,E,AN,N,1,2.0,0,c,PB,S,M,,,,,,
609,Low,UK,M,9,E,DBAG,N,0,3.0,0,m,PB,S,M,,,,,,
610,Very Low,Greece,M,6,E,DBAD,N,20,2.0,1,t,PB,S,M,,,,,,
611,Low,USA,M,6,E,DT,Y,6,1.0,3,m,PB,S,M,,,,,,
612,Very High,USA,P,4,E,E,N,4,4.0,6,C,PB,S,M,,,,,,
613,Mid,USA,M,21,E,M,Y,5,3.0,0,m,PB,SE,M,,,,,,
614,Very Low,Brazil,M,12,E,AN,N,12,1.0,2,C,PB,S,M,,,,,,
615,High,Canada,M,11,E,DBAP,N,5,1.0,6,C,PB,S,M,,,,,,
616,Low,Australia,M,15,E,AN,N,17,2.0,1,m,PB,C,M,,,,,,
617,Very High,USA,M,12,E,DT,N,6,3.0,0,C,PB,,M,,,,,,
618,Mid,UK,M,4,E,DA,N,9,2.0,0,C,PB,C,M,,,,,,
619,High,USA,RDS,5,E,E,N,5,3.0,0,m,PB,S,M,,,,,,
620,Very High,USA,M,25,E,DBAP,N,15,2.0,4,m,NP,S,M,,,,,,
